DrugA (uM);DrugB (uM);fa
0;0;33074
0;0;31519
0;0;30063
0;0.024439545;30313
0;0.024439545;30924
0;0.024439545;31556
0;0.097758056;30222
0;0.097758056;28073
0;0.097758056;28276
0;0.317712266;27205
0;0.317712266;25479
0;0.317712266;26023
0;1.099755754;28035
0;1.099755754;26647
0;1.099755754;27732
0;3.934458904;16037
0;3.934458904;15245
0;3.934458904;15830
0;13.68231333;6168
0;13.68231333;6348
0;13.68231333;6542
0;49.71805445;6234
0;49.71805445;5797
0;49.71805445;5254
0.000444356;0;28801
0.000444356;0;31105
0.000444356;0;31065
0.000444356;0.024439545;30249
0.000444356;0.024439545;30531
0.000444356;0.024439545;28619
0.000444356;0.097758056;28229
0.000444356;0.097758056;29059
0.000444356;0.097758056;27585
0.000444356;0.317712266;28657
0.000444356;0.317712266;27195
0.000444356;0.317712266;27625
0.000444356;1.099755754;26205
0.000444356;1.099755754;27915
0.000444356;1.099755754;24455
0.000444356;3.934458904;15499
0.000444356;3.934458904;14611
0.000444356;3.934458904;15432
0.000444356;13.68231333;6357
0.000444356;13.68231333;6796
0.000444356;13.68231333;6590
0.000444356;49.71805445;6179
0.000444356;49.71805445;5869
0.000444356;49.71805445;5257
0.001333067;0;28175
0.001333067;0;29969
0.001333067;0;31434
0.001333067;0.024439545;31344
0.001333067;0.024439545;28437
0.001333067;0.024439545;30321
0.001333067;0.097758056;28602
0.001333067;0.097758056;28465
0.001333067;0.097758056;28780
0.001333067;0.317712266;28855
0.001333067;0.317712266;28711
0.001333067;0.317712266;28849
0.001333067;1.099755754;30744
0.001333067;1.099755754;28025
0.001333067;1.099755754;27690
0.001333067;3.934458904;17291
0.001333067;3.934458904;15866
0.001333067;3.934458904;15080
0.001333067;13.68231333;6699
0.001333067;13.68231333;6985
0.001333067;13.68231333;6866
0.001333067;49.71805445;6570
0.001333067;49.71805445;6022
0.001333067;49.71805445;5439
0.003110489;0;28170
0.003110489;0;30629
0.003110489;0;32751
0.003110489;0.024439545;31871
0.003110489;0.024439545;27631
0.003110489;0.024439545;31410
0.003110489;0.097758056;28921
0.003110489;0.097758056;29930
0.003110489;0.097758056;29221
0.003110489;0.317712266;28845
0.003110489;0.317712266;27831
0.003110489;0.317712266;28011
0.003110489;1.099755754;22993
0.003110489;1.099755754;26288
0.003110489;1.099755754;24818
0.003110489;3.934458904;12767
0.003110489;3.934458904;12484
0.003110489;3.934458904;13370
0.003110489;13.68231333;6384
0.003110489;13.68231333;6501
0.003110489;13.68231333;6418
0.003110489;49.71805445;6012
0.003110489;49.71805445;5924
0.003110489;49.71805445;5186
0.007109689;0;23431
0.007109689;0;25779
0.007109689;0;26748
0.007109689;0.024439545;28105
0.007109689;0.024439545;28319
0.007109689;0.024439545;25820
0.007109689;0.097758056;28422
0.007109689;0.097758056;27384
0.007109689;0.097758056;26129
0.007109689;0.317712266;24093
0.007109689;0.317712266;27666
0.007109689;0.317712266;25240
0.007109689;1.099755754;19095
0.007109689;1.099755754;17818
0.007109689;1.099755754;19737
0.007109689;3.934458904;10824
0.007109689;3.934458904;11112
0.007109689;3.934458904;10787
0.007109689;13.68231333;6743
0.007109689;13.68231333;6697
0.007109689;13.68231333;6878
0.007109689;49.71805445;6250
0.007109689;49.71805445;5936
0.007109689;49.71805445;5488
0.016885512;0;13700
0.016885512;0;17787
0.016885512;0;15935
0.016885512;0.024439545;16296
0.016885512;0.024439545;16027
0.016885512;0.024439545;15082
0.016885512;0.097758056;15668
0.016885512;0.097758056;15053
0.016885512;0.097758056;14671
0.016885512;0.317712266;14109
0.016885512;0.317712266;15134
0.016885512;0.317712266;14755
0.016885512;1.099755754;11891
0.016885512;1.099755754;12100
0.016885512;1.099755754;11395
0.016885512;3.934458904;8381
0.016885512;3.934458904;8102
0.016885512;3.934458904;8135
0.016885512;13.68231333;6743
0.016885512;13.68231333;7103
0.016885512;13.68231333;6711
0.016885512;49.71805445;6304
0.016885512;49.71805445;5902
0.016885512;49.71805445;5322
0.041325068;0;8939
0.041325068;0;10239
0.041325068;0;10918
0.041325068;0.024439545;9914
0.041325068;0.024439545;10614
0.041325068;0.024439545;11274
0.041325068;0.097758056;11353
0.041325068;0.097758056;11637
0.041325068;0.097758056;10767
0.041325068;0.317712266;10791
0.041325068;0.317712266;10618
0.041325068;0.317712266;10339
0.041325068;1.099755754;9057
0.041325068;1.099755754;8888
0.041325068;1.099755754;8079
0.041325068;3.934458904;7880
0.041325068;3.934458904;7637
0.041325068;3.934458904;7558
0.041325068;13.68231333;6822
0.041325068;13.68231333;7175
0.041325068;13.68231333;6751
0.041325068;49.71805445;5893
0.041325068;49.71805445;5705
0.041325068;49.71805445;5221
0.097758222;0;7243
0.097758222;0;7688
0.097758222;0;7024
0.097758222;0.024439545;7440
0.097758222;0.024439545;7104
0.097758222;0.024439545;8108
0.097758222;0.097758056;7229
0.097758222;0.097758056;7902
0.097758222;0.097758056;6855
0.097758222;0.317712266;7141
0.097758222;0.317712266;7469
0.097758222;0.317712266;7261
0.097758222;1.099755754;6164
0.097758222;1.099755754;7008
0.097758222;1.099755754;6276
0.097758222;3.934458904;6076
0.097758222;3.934458904;5759
0.097758222;3.934458904;5559
0.097758222;13.68231333;5531
0.097758222;13.68231333;5382
0.097758222;13.68231333;5508
0.097758222;49.71805445;4958
0.097758222;49.71805445;5177
0.097758222;49.71805445;4662